impressive印象深刻的
vehicles车辆
occasionally偶然
cherished珍视
forge	熔炉，伪造
symbol	符号，象征
cord	绳，带
aware	意识到
marvelous	惊人的
alter	改变
general	总体的;普遍的
gross	总的，显著的
dispose	排列，处理
liable	有责任的
vitamin	维生素
locality	地区，位置
inflation	（通货）膨胀
famine	饥荒
impress	使铭记
enjoyable	愉快的
acquisition	获得（物）
weigh	称重
hibernate	冬眠
union	联合
debt	债务
examine	检查
achieve	获得
numb	麻木的
glance	一瞥
edit	编辑，主编
assume	假定
via	通过
response	反应，答复
uncle	伯父
study	学习，研究
porter	搬运工
standard	标准
theory	理论
regret	后悔
low	低的
earthquake	地震
locate	坐落于，定居
practise	实践
research	研究
paperwork	文书工作
bedding	床上用品
mutton	羊肉
ownership	所有制
wake	醒来
agent	代理人
premier	首相
protest	抗议，反对
woollen	羊毛的
regard	视为
somehow	以某种方式
overcome	克服
limb	肢，树枝
oppose	反对
speculate	推测，投机
cocoa	可可粉
initiative	主动，起始的
moisture	潮湿
virus	病毒
turbine	汽轮机
furnish	布置，装备
pea	豌豆
gerund	动名词n.(Gerund)是非谓语动词的另一种形式，在句子中起名词作用，又有动词的特征，可以带自己的宾语或状语，构成动名词短语。
wanders	漫游
stimuli	刺激（stimulus 的复数）;刺激（物），促进因素；（使生物产生反应的）刺激，刺激物；刺激性，趣味性（stimulus 的复数）
threatened	受到威胁的
experiment	实验
positive	积极的
energetically	精力充沛地
enthusiasm	热情
intensity	强度
shepherd	牧羊人
camp	度假营
price	价格
public	公共的
memberships	会员
adventures	奇遇
chemistry	化学
biology	生物学
engineering	工程学
appear	出现
experiments	实验
discover	发现
snowflake	雪花
igloo	冰屋
materials	材料
chill	寒冷
surviving	生存(survive的现在分词)
snowball	雪球
launcher	发射者
environments	环境
optional	可选择的
purchase	购买
preferred	更喜欢(prefer的过去式)
communication	交流
staff	职员
monitor	班长
respond	回答
voicemails	电子语音邮件
dependent	依赖的
volume	量；额
contact	联络
unattended	无人看管的
praise	表扬
campaign	竞选活动
faith	信任
approaching	接近的
nook	角落；隐匿处
knit	编织
patterns	有规律的模式
independent	独立的
experts	专家
settling	安置
trade	贸易
industrialization	工业化
compulsory	必须做的;强制的
dominant	统治的
distribution	分布
uneven	不均匀的
mild	轻微的
enthusiastic	热情的
conventional	惯例的
wish	愿望
part	部分
gas	煤气，气体
journalist	记者
moon	月球
according	依照
dusty	尘土的
north	北方
wedding	婚礼
unique	唯一的
here	这里
airmail	航空邮件
complex	复杂的
conduct	实施
national	国家的
roast	烘烤
cheek	面颊
tie	系
privilege	特权
encouragement	鼓励
expensive	昂贵的
borrow	借
mercy	怜悯
direct	直接的
receive	收到
form	表格
identification	识别
purpose	目的
mend	修理
herb	草药
stimulate	刺激，激励
idle	懒散的，无用的
cuisine	烹饪
manual	手工的，手册
normally	通常
chant	赞美诗
trunk	树干
magnificent	宏伟的，壮丽的
blueprint	蓝图
rival	竞争对手
front	前面的
pint	品脱
scenery	风景
resource	资源，办法
passively	被动地
wondered	想知道
definitely	肯定地
Brazilian	巴西的；adj.巴西人的；巴西人n.
fellow	同伴，伙伴;伙伴
microscopic	微观的；极微的
cancerous	癌的
pollutant	污染物
inhale	吸入
Mexico	墨西哥
accessible	可访问的
consequences	后果
enriching	丰富
material	材料
maple	枫树
wise	明智的
frost	霜
album	相册
trial	审判
weakness	缺点
pineapple	菠萝
delight	愉快
yell	大喊
abstract	抽象的
convey	运输，传送
phenomenon	现象
back	返回
goat	山羊
warmth	温暖
abundant	充足的
absolute	完全的
fault	错误
applaud	鼓掌
withdraw	撤回
operate	做手术
cattle	牛
dish	盘
flashlight	手电筒
southwest	西南
vivid	生动的
terminal	终点站
accommodation	住宿
soon	不久
predict	预测
complete	完成
appendix	附录
destination	目的地
freedom	自由
quite	相当
remind	提醒
customer	顾客
merely	仅仅
signal	信号
grocery	食品杂货店
spotted	有污迹的，有斑点的
risky	有风险的
crisis	危机
possession	财产
nursery	托儿所
exchanged	交换的
sand	沙子
explain	解释
random	随机的
accident	事故
scream	尖叫
hammer	锤子
marry	结婚
admission	准许进入
questionnaire	问卷
barbecue	烤肉野餐
violate	违反
shape	形状
pear	梨
pole	杆
treat	对待
struggle	斗争
decline	下降
bride	新娘
possible	可能的
harm	伤害
inform	通知
while	当…的时候
rewind	重绕
version	版本
pair	双
phrase	短语
confuse	使迷惑
method	方法
dust	灰尘
tough	坚硬的
shoot	射击
this	这个
yet	已经
cow	奶牛
familiar	熟悉的
principle	原则
bat	球拍
skin	皮肤
uniform	制服
equal	平等的
dilemma	困境
finance	财政
Germany	德国
Germans	德国人
headmistress	女校长
ballet	芭蕾舞
lamp	灯
blame	责备
season	季节
fountain	喷泉
apron	围裙
challenge	挑战
bury	埋
chemist	药剂师
official	官方的
pioneer	先锋
volleyball	排球
elder	年长的
wear	穿
spin	高速旋转
strait	海峡
found	创办
user	使用者
till	直到
sweet	甜的
franc	法郎
create	创造
power	力量
heavy	重的
pocket	口袋
communism	共产主义
burglar	夜贼
particular	特别的
television	电视
dress	连衣裙
envy	羡慕
instrument	乐器
universal	普遍的
thinking	思想
hire	租用；聘用
edition	版本
piece	一块
cloth	布
policy	政策
concert	音乐会
sugar	糖
receptionist	接待员
reduce	减少
drawer	抽屉
mom	妈妈
hurry	赶快
clothing	服装
proud	骄傲的
bare	裸露的
needle	针
reliable	可信赖的
remain	仍然，剩下
stamp	邮票
since	自从
rural	农村的
quarrel	争吵
movie	电影
glue	胶水
self	自己
fireworks	焰火
parcel	包裹
contribution	贡献
senior	年长的
worldwide	遍及全球的
representative	有代表性的
recognize	认出
parallel	平行的
news	新闻
recover	恢复
digest	消化
steady	平稳的
lounge	休息厅
ample	充足的
statistics	统计
tone	语气，音调
electron	电子
favorable	称赞的，有利的
voluntary	自愿的
clash	冲突，不协调
decay	腐烂，衰败
recreation	娱乐，消遣
starve	饿死;（使）挨饿，饿死
splendid	灿烂的
source	来源，水源
laser	激光
planet	行星
agency	专门机构
producers	生产者
trucks	卡车
hear	听见
misunderstand	误解
digital	数字的
dorm	宿舍
ache	疼痛
leadership	领导
radio	收音机
round	圆的
tank	坦克
guidance	引导
Oceania	大洋洲
defeat	击败
spoon	汤匙
danger	危险
vacation	假期
belong	属于
seat	座位
friction	摩擦
poison	毒药
double	两倍的
bishop	主教
evolution	进化
both	两者都
attitude	态度
garment	服装
mustard	芥末
affect	影响
cassette	盒式磁带
accountant	会计员（师）
pollute	污染
wipe	擦拭
fun	有趣的
arrange	安排
handle	把手
debate	讨论，辩论
opera	歌剧
project	工程
civilian	平民
minimum	最小的
instructor	指导者，教练
appealing	有吸引力的
criteria	标准
opponent	对手
options	选择
hesitated	犹豫
officially	正式地
blessed	受祝福的
royal	皇家的
delicate	精美，脆弱的
astronaut	宇航员
network	网络
achievement	成就
afterward	后来
experience	经验
normal	正常的
settle	解决
bow	鞠躬，弓
century	世纪
modem	调制解调器
pedestrian	行人
mention	提及
leak	泄露
maximum	最大值
significance	重要性
guide	向导
extreme	极其的
insect	昆虫
collection	收藏品
flame	火焰
taste	品尝
goodness	善良
tyre	轮胎
grammar	语法
gallery	画廊
