start-ups	新兴企业
be on a mission	肩负使命
stop...from doing something	阻止……做……
throw something away	将……扔掉
sound like...	听起来……
think about...	考虑
lose money	赔钱
take something for example	以……为例
charge...with doing something	指控……做某事
take something away	夺走……
what's more 更重要的是
after all	毕竟
in fact	事实上
food waste	食品浪费
both... and...	两者都
It doesn't have to be either...or 这并不一定非此即彼
an end to ......	的结束
more and more	越来越多的
be considered to...	被认为……
as you know	如你所知
be made from	由......制成（不能看出原材料）
slow down	减缓
more ... than...	比......更多
short-lived	寿命短的
throw away	扔掉
large amount of	大量的
both... and	两者都
environment-friendly	环保的
single-use	一次性使用
much better than	比...好得多
either... or...	不是……就是……
