ceremony    仪式
tradition   传统
ancient   古代的
custom   风俗
imagination    想象力
attractive  吸引人的
symbol 象征
believe    相信；认为
familiar    熟悉的
Spring Festival   春节
Lantern Festival    元宵节
Dragon Boat Festival     端午节
Double Ninth Festival    重阳节
Lunar New Year's Eve    除夕
Tomb-Sweeping  Day   清明节
Mid-Autumn Festival   中秋节
New Year's Day    元旦
couplet   对联
Chinese knot   中国结
red envelope   红包
dragon dance    舞龙
shadow play    皮影戏
paper cutting   剪纸
New Year painting    年画
lucky money   压岁钱
lion dance    舞狮
Yangko dance    秧歌
gunpowder   火药
compass  指南针
papermaking technique    造纸术
printing technology    印刷术
home     家
relative   亲戚
family tree     家谱
family relationship     家庭关系
a single-parent family     单亲家庭
found/start a family     建立家庭
household   家庭
housework/house chores    家务事；家务活
family responsibilities    家庭责任
family education    家庭教育
feed/raise/support a family   养家
communication   交流，沟通
understanding   理解
care     关心
support   支持
companionship   陪伴
argument    争吵
trust   信任
patience 耐心
honesty   诚实
togetherness    和睦相处
bond     纽带；联系
